id,name,length,mode,mood,tags,hex
24,inkstone_peach_muted,5,both,muted,"dusty, slate, warm",#F29E6D|#BF7D56|#F2AB6D|#656F8C|#2C3140
13,woodland_gold_earthy,5,both,earthy,"forest, golden, grounded",#592F0A|#A6783F|#F2D0A7|#8DA686|#45593F
32,meadow_sienna_calm,5,both,calm,"earthy, tranquil, vintage",#BF8561|#EED9A0|#025940|#64AB97|#0D040B
31,pop_pastel_neon,4,both,bright,"pastel, playful, pop",#FFC199|#EAFF99|#99FAFF|#DB99FF
23,fantastic_4_fs,5,both,mystical,"cosmic, dreamy, layered",#BF7C41|#F2BE22|#F2E8D5|#0C4459|#1F77B6
39,lagoon_slate_fresh,6,both,fresh,"marine, teal, faded",#8C786C|#A2F2BE|#56A697|#195359|#123340|#604F55
21,stone_coast_neutral,5,both,neutral,"beach, natural, aged",#8C694A|#D9BFA0|#F2E9D8|#64858C|#183140
5,sunrise_teal_gentle,4,both,gentle,"dawn, soft",#FFDAB9|#FFDEAD|#FFE4B5|#F5DEB3
40,twilight_blues_soft,4,both,soft,"graphic, modern, faded",#F2E6D8|#8DA6F2|#415AA6|#0E2159
33,forest_muted_earthy,4,light,earthy,"nature, calm",#8FBC8F|#014421|#2E8B57|#66CDAA
34,sage_teal_earthy,4,both,earthy,"nature, soft, bright",#2E4C3B|#D8E2DC|#A4C3B2|#6B9080
36,silver_sage_soft,5,both,soft,"sage, clean, airy",#8EBFA8|#7BA692|#D5F2E5|#3F5759|#9FBCBF
45,ocean_muted_cool,4,dark,cool,"marine, deep",#39CCCC|#7FDBFF|#001F3F|#0074D9
50,dusty_rose_moody,5,both,moody,"rose, muted, twilight",#242E49|#574964|#6E546D|#B18A9A|#FFE0E6
49,violetstorm_muted_moody,5,dark,moody,"purple, storm",#3D2C8D|#5C4D99|#7D6BBA|#C6BCE4|#A89CC8
